"Country or Area","Year(s)","Variant","Value"
"Colombia","2095-2100","Medium","2.975"
"Colombia","2090-2095","Medium","3.195"
"Colombia","2085-2090","Medium","3.440"
"Colombia","2080-2085","Medium","3.710"
"Colombia","2075-2080","Medium","4.015"
"Colombia","2070-2075","Medium","4.350"
"Colombia","2065-2070","Medium","4.752"
"Colombia","2060-2065","Medium","5.224"
"Colombia","2055-2060","Medium","5.828"
"Colombia","2050-2055","Medium","6.502"
"Colombia","2045-2050","Medium","7.251"
"Colombia","2040-2045","Medium","8.066"
"Colombia","2035-2040","Medium","8.965"
"Colombia","2030-2035","Medium","10.235"
"Colombia","2025-2030","Medium","11.641"
"Colombia","2020-2025","Medium","13.444"
"Colombia","2015-2020","Medium","15.485"
"Colombia","2010-2015","Medium","17.908"
"Colombia","2005-2010","Medium","19.043"
"Colombia","2000-2005","Medium","20.473"
"Colombia","1995-2000","Medium","23.980"
"Colombia","1990-1995","Medium","27.629"
"Colombia","1985-1990","Medium","35.344"
"Colombia","1980-1985","Medium","42.961"
"Colombia","1975-1980","Medium","56.698"
"Colombia","1970-1975","Medium","73.032"
"Colombia","1965-1970","Medium","82.177"
"Colombia","1960-1965","Medium","92.095"
"Colombia","1955-1960","Medium","105.344"
"Colombia","1950-1955","Medium","123.171"

